value,metric,fold,model
0.4427980156986637,pr_auc,1,xgb
0.43683798575000987,pr_auc,2,xgb
0.44791690668202766,pr_auc,3,xgb
0.4307129491608303,pr_auc,4,xgb
0.45394300226330486,pr_auc,5,xgb
0.47196435772749035,pr_auc,1,lgbm
0.45189531781546777,pr_auc,2,lgbm
0.4486627238930021,pr_auc,3,lgbm
0.4547882549131138,pr_auc,4,lgbm
0.4906363366779899,pr_auc,5,lgbm
0.6040149753962599,roc_auc,1,xgb
0.5943400494417604,roc_auc,2,xgb
0.6108359836437983,roc_auc,3,xgb
0.5916234420698507,roc_auc,4,xgb
0.592142042737872,roc_auc,5,xgb
0.6177902499023398,roc_auc,1,lgbm
0.6010389232683266,roc_auc,2,lgbm
0.6067444091069717,roc_auc,3,lgbm
0.603634433834136,roc_auc,4,lgbm
0.6056999154069661,roc_auc,5,lgbm
