monthly_income,collateral_value,loan_amount,collateral_debt,verified_restriction,dishonored_checks,expired_debts,banking_debts,commercial_debts,protests,informed_restriction,monthly_payment,auto_brand,auto_model,auto_year,form_completed,sent_to_analysis,channel,landing_page,landing_page_product,utm_term
2700.0,25000.0,5000.0,,1.0,0,0,0,1,0,0.0,219.33,Citroën,C3 Exclusive 1.4 Flex 8V 5p,2012.0,0.0,0.0,emailaffiliates,/emprestimos/solicitar,PersonalLoan,
3000.0,29804.0,5000.0,4300.0,0.0,0,0,0,0,0,,,Nissan,LIVINA GRAND S 1.8 16V Flex Fuel Mec.,2010.0,0.0,1.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
1200.0,25000.0,8206.69,0.0,1.0,1,0,0,1,1,1.0,360.0,VW - VolksWagen,VOYAGE 1.0 Mi Total Flex 8V 4p,2010.0,1.0,0.0,display,/emprestimos/garantia-veiculo/solicitar,,c
5400.0,12000.0,5000.0,0.0,0.0,0,0,0,0,0,0.0,344.33,Fiat,Uno Mille WAY ECONOMY 1.0 F.Flex 4p,2010.0,1.0,1.0,search,/,HomePage,c
30000.0,92224.0,30000.0,0.0,0.0,0,0,0,0,0,,,GM - Chevrolet,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2013.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
4000.0,19568.0,35000.0,0.0,0.0,0,0,0,0,0,,,Renault,LOGAN Expression Hi-Flex 1.6 8V 4p,2010.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
2300.0,30000.0,9000.0,9000.0,0.0,0,0,0,0,0,0.0,338.02,VW - VolksWagen,VOYAGE 1.0 Mi Total Flex 8V 4p,2013.0,0.0,0.0,seo,/blog/artigos/emprestimos/qual-o-melhor-banco-para-refinanciar-veiculo,,
1150.0,7000.0,5000.0,,0.0,0,0,0,0,0,0.0,161.77,VW - VolksWagen,Gol (novo) 1.0 Mi Total Flex 8V 4p,2011.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,
4500.0,22000.0,12000.0,1600.0,0.0,0,0,0,0,0,0.0,1300.0,Renault,SANDERO Expression Hi-Flex 1.0 16V 5p,2011.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,
2000.0,27000.0,5000.0,,0.0,0,0,0,0,0,0.0,279.56,Fiat,Palio 1.0 ECONOMY Fire Flex 8V 2p,2013.0,1.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
8500.0,15403.0,5000.0,0.0,0.0,0,0,0,0,0,,,Fiat,Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex,2006.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
4800.0,32000.0,28800.0,18000.0,0.0,0,0,0,0,0,0.0,979.01,Fiat,Idea ESSENCE Dualogic 1.6 Flex 16V 5p,2013.0,0.0,0.0,search,/,HomePage,m
2800.0,16000.0,5000.0,,0.0,0,0,0,0,0,0.0,552.67,Fiat,Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 2p,2010.0,1.0,1.0,referral,/emprestimos/garantia-veiculo/solicitar,,
3000.0,22000.0,19800.0,,0.0,0,0,0,0,0,0.0,825.0,GM - Chevrolet,Vectra EXPRESSION 2.0 MPFI FlexPower Aut,2007.0,0.0,0.0,display,/emprestimos/garantia-veiculo/solicitar,,
1570.0,27800.0,6000.0,1510.0,0.0,0,0,0,0,0,1.0,216.04,Ford,Fiesta 1.6 8V Flex/Class 1.6 8V Flex 5p,2011.0,0.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
6000.0,45000.0,37600.0,0.0,0.0,0,0,0,0,0,0.0,1649.39,Ford,Fusion SEL 2.5 16V 173cv Aut.,2011.0,0.0,0.0,display,/emprestimos/solicitar,PersonalLoan,c
2500.0,52000.0,10000.0,0.0,0.0,0,0,0,0,0,0.0,666.67,Fiat,Ducato Cargo 2.8 Curto/Longo TB Diesel,2006.0,1.0,0.0,remarketing,/emprestimos/garantia-veiculo/solicitar,,
6000.0,35000.0,30000.0,,0.0,0,0,0,0,0,0.0,1316.0,Kia Motors,Sportage EX 2.0 16V Mec.,2008.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,c
8000.0,22000.0,19800.0,0.0,1.0,0,0,0,1,0,0.0,640.6,Peugeot,307 Sed. Presence 1.6 Flex 16V 4p,2007.0,0.0,1.0,remarketing,/emprestimos/garantia-veiculo/solicitar,,c
4050.0,18000.0,8000.0,0.0,1.0,0,0,1,0,0,1.0,422.22,Fiat,Palio ELX 1.4 mpi Fire Flex 8V 4p,2006.0,1.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
15000.0,109000.0,95000.0,0.0,0.0,0,0,0,0,0,0.0,4167.33,Audi,A3 Sportback 1.8 16V TFSI S-Tronic 5p,2014.0,0.0,0.0,direct,/,HomePage,
