value,metric,fold,model
0.4358186747103076,pr_auc,1,xgb
0.4615439906346925,pr_auc,2,xgb
0.48525230611005993,pr_auc,3,xgb
0.42333626515614725,pr_auc,4,xgb
0.4409629645412091,pr_auc,5,xgb
0.4233526895650397,pr_auc,1,lgbm
0.47909014872536404,pr_auc,2,lgbm
0.5089211211201873,pr_auc,3,lgbm
0.4487856808297089,pr_auc,4,lgbm
0.48001227412533193,pr_auc,5,lgbm
0.5933789671579315,roc_auc,1,xgb
0.5817635212888378,roc_auc,2,xgb
0.5850500999790099,roc_auc,3,xgb
0.5870961082910322,roc_auc,4,xgb
0.679678734626677,roc_auc,5,xgb
0.5865895924212728,roc_auc,1,lgbm
0.5911996547756041,roc_auc,2,lgbm
0.5891116782112044,roc_auc,3,lgbm
0.5948944162436548,roc_auc,4,lgbm
0.7031621436892536,roc_auc,5,lgbm
